Rank,Platform,Year,Genre,Publisher,Global_Sales
1,0.7,2006.0,0.57,2.54,82.74
2,2.56,1985.0,0.94,2.54,40.24
3,0.7,2008.0,0.59,2.54,35.82
4,0.7,2009.0,0.57,2.54,33.0
5,2.61,1996.0,0.62,2.54,31.37
6,2.61,1989.0,0.42,2.54,30.26
7,0.38,2006.0,0.94,2.54,30.01
8,0.7,2006.0,0.47,2.54,29.02
9,0.7,2009.0,0.94,2.54,28.62
10,2.56,1984.0,0.79,2.54,28.31
11,0.38,2005.0,0.45,2.54,24.76
12,0.38,2005.0,0.59,2.54,23.42
13,2.61,1999.0,0.62,2.54,23.1
14,0.7,2007.0,0.57,2.54,22.72
15,0.7,2009.0,0.57,2.54,22.0
16,0.78,2010.0,0.47,1.3,21.82
17,0.72,2013.0,0.53,0.97,21.4
18,0.58,2004.0,0.53,0.97,20.81
19,0.84,1990.0,0.94,2.54,20.61
20,0.38,2005.0,0.47,2.54,20.22
21,0.38,2006.0,0.62,2.54,18.36
22,2.61,1989.0,0.94,2.54,18.14
23,2.56,1988.0,0.94,2.54,17.28
24,0.78,2013.0,0.53,0.97,16.38
25,0.58,2002.0,0.53,0.97,16.15
26,0.39,2002.0,0.62,2.54,15.85
27,0.38,2010.0,0.62,2.54,15.32
28,0.38,2005.0,0.42,2.54,15.3
29,0.58,2001.0,0.59,0.89,14.98
30,0.78,2011.0,0.79,0.75,14.76
31,2.61,1998.0,0.62,2.54,14.64
32,0.78,2010.0,0.79,0.75,14.64
33,0.49,2013.0,0.62,2.54,14.35
34,0.83,2015.0,0.79,0.75,14.24
35,0.72,2012.0,0.79,0.75,14.03
36,0.78,2012.0,0.79,0.75,13.73
37,0.78,2009.0,0.79,0.75,13.51
38,0.72,2011.0,0.79,0.75,13.46
39,0.58,2001.0,0.53,0.97,13.1
40,0.7,2008.0,0.53,2.54,13.04
41,0.72,2010.0,0.79,0.75,12.73
42,0.38,2005.0,0.45,2.54,12.27
43,0.49,2011.0,0.59,2.54,12.21
44,0.78,2007.0,0.79,1.3,12.14
45,0.83,2014.0,0.53,0.97,11.98
46,0.38,2009.0,0.53,2.54,11.9
47,0.69,1996.0,0.94,2.54,11.89
48,0.58,2004.0,0.59,0.89,11.66
49,0.7,2007.0,0.94,2.54,11.52
50,0.49,2014.0,0.62,2.54,11.33
51,2.61,1992.0,0.19,2.54,11.18
52,0.78,2008.0,0.53,0.97,11.02
53,0.61,1997.0,0.59,0.89,10.95
54,0.49,2011.0,0.94,2.54,10.79
55,0.72,2010.0,0.59,0.89,10.77
56,0.72,2009.0,0.79,0.75,10.69
57,0.72,2008.0,0.53,0.97,10.57
58,0.84,1993.0,0.94,2.54,10.55
59,0.39,2004.0,0.62,2.54,10.49
60,0.38,2004.0,0.94,2.54,10.42
61,0.7,2011.0,0.47,0.52,10.26
62,0.78,2013.0,0.79,0.75,10.21
63,0.78,2010.0,0.79,1.3,9.88
64,0.69,1996.0,0.59,2.54,9.87
65,0.49,2012.0,0.94,2.54,9.82
66,0.78,2012.0,0.79,1.3,9.76
67,0.61,1997.0,0.62,0.89,9.72
68,0.72,2013.0,0.79,0.75,9.59
69,0.7,2010.0,0.47,0.52,9.52
70,0.61,1999.0,0.59,0.89,9.49
71,0.78,2007.0,0.79,0.75,9.32
72,0.84,1994.0,0.94,2.54,9.3
73,0.78,2013.0,0.47,1.3,9.2
74,0.49,2012.0,0.45,2.54,9.09
75,0.38,2007.0,0.47,2.54,9.02
76,0.78,2011.0,0.62,1.16,8.84
77,0.84,1992.0,0.59,2.54,8.76
78,0.83,2015.0,0.57,0.82,8.49
79,0.7,2010.0,0.47,2.54,8.49
80,0.31,2004.0,0.79,1.3,8.49
81,0.7,2007.0,0.47,2.54,8.42
82,0.38,2012.0,0.62,2.54,8.33
83,0.72,2012.0,0.53,0.82,8.24
84,0.27,2009.0,0.45,0.82,8.11
85,0.69,1997.0,0.79,2.54,8.09
86,0.7,2007.0,0.57,0.43,8.06
87,0.58,2001.0,0.62,0.89,8.05
88,0.61,1999.0,0.62,1.11,7.86
89,0.38,2008.0,0.62,2.54,7.84
90,0.73,1982.0,0.42,0.43,7.81
91,0.24,2005.0,0.53,0.97,7.72
92,0.7,2010.0,0.94,2.54,7.69
93,0.83,2015.0,0.79,0.82,7.67
94,0.83,2014.0,0.79,0.75,7.6
95,0.69,1998.0,0.53,2.54,7.6
96,0.61,1997.0,0.94,0.89,7.58
97,2.56,1988.0,0.94,2.54,7.46
98,0.49,2014.0,0.53,2.54,7.45
99,0.78,2008.0,0.79,0.75,7.37
100,0.78,2011.0,0.79,0.82,7.34
101,0.7,2006.0,0.53,2.54,7.31
102,0.66,2015.0,0.79,0.75,7.3
103,0.7,2009.0,0.47,0.52,7.27
104,0.72,2011.0,0.79,0.82,7.23
105,0.58,2003.0,0.59,0.82,7.2
106,0.61,1998.0,0.53,0.89,7.16
107,0.61,1998.0,0.94,0.89,7.13
108,0.36,2001.0,0.53,2.54,7.07
109,0.57,2014.0,0.59,2.54,6.96
110,0.83,2015.0,0.62,1.16,6.96
111,0.36,2003.0,0.59,2.54,6.95
112,0.7,2012.0,0.47,0.52,6.91
113,0.72,2013.0,0.57,0.82,6.9
114,0.58,2004.0,0.59,0.82,6.9
115,0.58,2002.0,0.79,0.82,6.83
116,0.72,2011.0,0.53,0.89,6.83
117,0.61,1996.0,0.94,0.89,6.82
118,0.7,2010.0,0.57,0.29,6.81
119,0.78,2008.0,0.79,1.3,6.76
120,0.72,2009.0,0.53,0.89,6.73
121,0.72,2007.0,0.79,0.75,6.72
122,0.72,2011.0,0.57,0.82,6.69
123,0.38,2005.0,0.47,2.54,6.67
124,0.72,2010.0,0.53,0.97,6.6
125,0.83,2014.0,0.57,0.82,6.59
126,0.7,2010.0,0.94,2.54,6.59
127,0.72,2011.0,0.62,1.16,6.56
128,2.56,1986.0,0.53,2.54,6.51
129,0.72,2012.0,0.53,0.52,6.5
130,0.31,2001.0,0.79,1.3,6.43
131,0.39,2004.0,0.62,2.54,6.41
132,0.58,2002.0,0.62,0.89,6.4
133,2.61,2000.0,0.62,2.54,6.39
134,0.78,2009.0,0.79,1.3,6.36
135,0.78,2010.0,0.53,0.97,6.34
136,0.36,2002.0,0.94,2.54,6.31
137,0.84,1992.0,0.53,0.53,6.3
138,0.27,2004.0,0.62,0.75,6.28
139,0.61,1999.0,0.53,0.56,6.27
140,0.78,2010.0,0.57,1.3,6.24
141,0.78,2011.0,0.79,1.3,6.24
142,0.78,2006.0,0.79,1.3,6.11
143,0.58,2001.0,0.53,0.34,6.05
144,1.05,1992.0,0.94,0.43,6.03
145,0.72,2008.0,0.53,0.34,6.03
146,0.61,1998.0,0.53,0.34,6.03
147,0.72,2013.0,0.53,1.59,5.99
148,0.58,2006.0,0.62,0.62,5.95
149,0.72,2008.0,0.94,0.89,5.92
150,0.38,2009.0,0.62,2.54,5.84
151,0.7,2007.0,0.53,0.97,5.83
152,0.61,1998.0,0.53,0.71,5.82
153,0.61,1996.0,0.53,0.89,5.74
154,0.38,2006.0,0.45,0.29,5.72
155,0.83,2014.0,0.79,0.75,5.65
